monomer_smiles,product_repeating_unit,product_number_of_units,initiator_smiles,temperature,pressure,solvent,solvent_conc,solvent_model,monomer_state,polymer_state,comp_method,comp_functional,comp_basis_set,comp_dispersion,comp_forcefield,delta_h,delta_s,ceiling_temperature,polymerisation_comment,polymerisation_doi,polymerisation_link,,,,,,,,,,,,
O=C1CCCCCCCCCCCCCO1,,,,400,,,,,l,l,,,,,,-2,26,,,,,,,,,,,,,,,,
O=C1CCCCCCCCCCCCCCO1,,,,200,,,,,c,c,,,,,,-12,10,,,,,,,,,,,,,,,,
C1COC1=O,,,,298.15,,,,,l,c,,,,,,-82.3,-74,,,,,,,,,,,,,,,,
C1CC(=O)OC1,,,,298.15,,,,,l,he,,,,,,5,-30,,,,,,,,,,,,,,,,
O=C1CCC(C)CO1,,,,300.15,,,,,l,a,,,,,,-15.8,-45,,,,,,,,,,,,,,,,
O=C1CCCCCO1,,,,,,,,,,,,,,,,-14,,,,,,,,,,,,,,,,,
O=C1OCCCCCC1,,,,,,,,,,,,,,,,-19.25,,,,,,,,,,,,,,,,,
O=C1OCCCCCCC1,,,,298.15,,,,,l,he,,,,,,-19,2,,,,,,,,,,,,,,,,
O=C1CCCCCCCCO1,,,,400,,,,,l,l,,,,,,-22,12,,,,,,,,,,,,,,,,
O=C1CCCCCCCCCO1,,,,400,,,,,l,l,,,,,,-24,18,,,,,,,,,,,,,,,,
O=C1CCCCCCCCCCO1,,,,298.15,,,,,l,he,,,,,,-28,24,,,,,,,,,,,,,,,,
O=C1CCCCCCCCCCCO1,,,,400,,,,,l,l,,,,,,-19,5,,,,,,,,,,,,,,,,
O=C1CCCCCCCCCCCCO1,,,,430,,,,,l,l,,,,,,-8,26,,,,,,,,,,,,,,,,
O=C1CCCCCCCCCCCCCO1,,,,400,,,,,l,l,,,,,,-2,26,,,,,,,,,,,,,,,,
O=C1CCCCCCCCCCCCCCO1,,,,200,,,,,c,c,,,,,,-12,10,,,,,,,,,,,,,,,,
