monomer_smiles,polymerisation_type,is_experimental,polymer_smiles,repeating_units,initiator_smiles,solvent,solvent_model,monomer_state,polymer_state,temperature,pressure,method,delta_h,delta_s,ceiling_temperature,delta_g,date,doi,url,comp_functional,comp_basis_set,comp_dispersion,comp_forcefield,comment,initial_monomer_conc,bulk_monomer_conc,dispersity,degree_of_polymerisation,number_average_molar_mass,mass_average_molar_mass
O=C1OCCCCCO1,RER,FALSE,O=C([*])OCCCCCO[*],3.00,,,,,,298.15,,dft,-25.47696483,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1OCN1,RER,FALSE,O=C([*])OCN[*],3.00,,,,,,298.15,,dft,-59.36039119,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1NCCO1,RER,FALSE,O=C([*])OCCN[*],3.00,,,,,,298.15,,dft,-13.22767771,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1NCCCO1,RER,FALSE,O=C([*])OCCCN[*],3.00,,,,,,298.15,,dft,-19.83842388,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1NCCCCO1,RER,FALSE,O=C([*])OCCCCN[*],3.00,,,,,,298.15,,dft,-24.68605351,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1OCCSC1,RER,FALSE,O=C([*])CSCCO[*],3.00,,,,,,298.15,,dft,16.29459527,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCOCC1,RER,FALSE,O=C([*])CCOCS[*],3.00,,,,,,298.15,,dft,4.074156758,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCOC1,RER,FALSE,O=C([*])COCCS[*],3.00,,,,,,298.15,,dft,6.546714981,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
S=C1SCCSC1,RER,FALSE,S=C([*])CSCCS[*],3.00,,,,,,298.15,,dft,12.48290654,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
S1SSSSSSS1,RER,FALSE,[*]SSSSSSSS[*],3.00,,,,,,298.15,,dft,-25.45288463,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCCC1C,RER,FALSE,O=C([*])C(C)CCCS[*],3.00,,,,,,298.15,,dft,6.153657116,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCC(C)(C)C1,RER,FALSE,O=C([*])CC(C)(C)CCS[*],3.00,,,,,,298.15,,dft,13.67610125,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCCC1(C)C,RER,FALSE,O=C([*])C(C)(C)CCCS[*],3.00,,,,,,298.15,,dft,-1.833,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
